Player ID,Date,Team,Opponent,Rebounds,Predicted Rebounds (Linear Model),Predicted Rebounds (Random Forest)
alexani01,2024-01-18,MIN,MEM,2.0,0.9336665930141026,1.32
alexani01,2024-01-20,MIN,OKC,5.0,2.5272699349798584,1.44
alexani01,2024-01-22,MIN,CHO,0.0,1.1259336857067357,1.86
alexani01,2024-01-24,MIN,WAS,5.0,5.095706338111685,5.1
alexani01,2024-01-25,MIN,BRK,1.0,0.507210978796995,0.56
alexani01,2024-01-27,MIN,SAS,4.0,4.485246506803309,4.77
alexani01,2024-01-29,MIN,OKC,2.0,1.5214417023783897,1.23
alexani01,2024-01-31,MIN,DAL,0.0,2.0225080491947947,3.58
alexani01,2024-02-02,MIN,ORL,1.0,1.5204882690303045,1.6
alexani01,2024-02-04,MIN,HOU,7.0,3.57023004112339,3.95
alexani01,2024-02-06,MIN,CHI,1.0,1.137464924089128,0.97
alexani01,2024-02-08,MIN,MIL,3.0,5.182124028163163,5.82
alexani01,2024-02-12,MIN,LAC,2.0,1.5086573773662724,1.19
alexani01,2024-02-13,MIN,POR,3.0,2.9896199558343244,3.06
alexani01,2024-02-15,MIN,POR,2.0,2.0315736974639687,2.03
alexani01,2024-02-23,MIN,MIL,1.0,2.01398303603132,1.91
alexani01,2024-02-24,MIN,BRK,6.0,4.084809898206472,3.88
alexani01,2024-02-27,MIN,SAS,4.0,2.551287455905466,2.52
alexani01,2024-02-28,MIN,MEM,1.0,3.6062696242638643,3.71
alexani01,2024-03-01,MIN,SAC,2.0,3.031588925269656,2.83
alexani01,2024-03-03,MIN,LAC,0.0,0.44890183509306886,0.78
alexani01,2024-03-04,MIN,POR,1.0,1.50834024574855,1.37
alexani01,2024-03-07,MIN,IND,2.0,1.0105469026019982,1.14
alexani01,2024-03-08,MIN,CLE,2.0,1.4873619604567112,1.76
alexani01,2024-03-10,MIN,LAL,7.0,4.614029615836577,6.08
alexani01,2024-03-12,MIN,LAC,3.0,2.627850028278202,2.26
alexani01,2024-03-16,MIN,UTA,5.0,6.135355123846963,5.22
alexani01,2024-03-18,MIN,UTA,4.0,3.5170734589874573,3.54
